gen >0, new best = 164.000
gen >0, new best = 158.100
gen >0, new best = 153.200
gen >0, new best = 148.900
gen >0, new best = 147.400
gen: 0 best: 147.4 mean: 164.30696517412935
gen >1, new best = 141.600
gen >1, new best = 139.100
gen: 1 best: 139.1 mean: 164.07412935323384
gen: 2 best: 139.1 mean: 161.83880597014925
gen >3, new best = 139.000
gen: 3 best: 139.0 mean: 163.2452736318408
gen: 4 best: 139.0 mean: 162.2268656716418
gen: 5 best: 139.0 mean: 161.47512437810946
gen >6, new best = 138.000
gen: 6 best: 138.0 mean: 160.21542288557214
gen: 7 best: 138.0 mean: 160.60099502487563
gen: 8 best: 138.0 mean: 159.40248756218907
gen: 9 best: 138.0 mean: 160.46616915422885
gen: 10 best: 138.0 mean: 159.88855721393034
gen: 11 best: 138.0 mean: 159.83432835820895
gen: 12 best: 138.0 mean: 158.98955223880597
gen >13, new best = 137.600
gen: 13 best: 137.6 mean: 158.4094527363184
gen >14, new best = 117.000
gen: 14 best: 117.0 mean: 157.62686567164178
gen: 15 best: 117.0 mean: 157.12537313432836
gen: 16 best: 117.0 mean: 157.9049751243781
gen: 17 best: 117.0 mean: 157.34427860696516
gen: 18 best: 117.0 mean: 156.59104477611942
gen: 19 best: 117.0 mean: 156.75422885572138
gen: 20 best: 117.0 mean: 156.26268656716417
gen: 21 best: 117.0 mean: 155.39402985074628
gen: 22 best: 117.0 mean: 155.71442786069653
gen: 23 best: 117.0 mean: 155.03233830845772
gen: 24 best: 117.0 mean: 155.8766169154229
gen: 25 best: 117.0 mean: 153.9955223880597
gen: 26 best: 117.0 mean: 154.29253731343283
gen: 27 best: 117.0 mean: 153.97661691542288
gen: 28 best: 117.0 mean: 153.1820895522388
gen: 29 best: 117.0 mean: 152.14328358208954
gen: 30 best: 117.0 mean: 152.01791044776118
gen: 31 best: 117.0 mean: 151.8776119402985
gen: 32 best: 117.0 mean: 151.773631840796
gen: 33 best: 117.0 mean: 150.6233830845771
gen: 34 best: 117.0 mean: 150.92835820895522
gen: 35 best: 117.0 mean: 150.27512437810944
gen: 36 best: 117.0 mean: 149.56268656716418
gen: 37 best: 117.0 mean: 149.42139303482588
gen: 38 best: 117.0 mean: 148.62835820895523
gen: 39 best: 117.0 mean: 148.72587064676617
gen: 40 best: 117.0 mean: 147.71691542288556
gen: 41 best: 117.0 mean: 148.76517412935323
gen: 42 best: 117.0 mean: 148.83383084577113
gen: 43 best: 117.0 mean: 147.53930348258706
gen: 44 best: 117.0 mean: 147.98507462686567
gen: 45 best: 117.0 mean: 147.55323383084578
gen: 46 best: 117.0 mean: 146.50049751243782
gen: 47 best: 117.0 mean: 146.2318407960199
gen: 48 best: 117.0 mean: 146.29452736318407
gen: 49 best: 117.0 mean: 145.88955223880598
gen: 50 best: 117.0 mean: 146.32139303482586
gen: 51 best: 117.0 mean: 146.13482587064678
gen: 52 best: 117.0 mean: 145.31990049751244
gen: 53 best: 117.0 mean: 145.22935323383084
gen: 54 best: 117.0 mean: 145.25572139303483
gen: 55 best: 117.0 mean: 145.20199004975123
gen: 56 best: 117.0 mean: 144.97014925373134
gen: 57 best: 117.0 mean: 144.7417910447761
gen >58, new best = 110.400
gen: 58 best: 110.4 mean: 144.62786069651742
gen: 59 best: 110.4 mean: 144.29452736318407
gen: 60 best: 110.4 mean: 144.65422885572139
gen: 61 best: 110.4 mean: 144.64676616915423
gen: 62 best: 110.4 mean: 144.6676616915423
gen: 63 best: 110.4 mean: 143.8955223880597
gen: 64 best: 110.4 mean: 143.70646766169153
gen: 65 best: 110.4 mean: 143.18358208955223
gen: 66 best: 110.4 mean: 143.98756218905473
gen: 67 best: 110.4 mean: 143.6776119402985
gen: 68 best: 110.4 mean: 142.50149253731342
gen: 69 best: 110.4 mean: 142.44726368159203
gen: 70 best: 110.4 mean: 141.54427860696518
gen: 71 best: 110.4 mean: 142.44278606965173
gen: 72 best: 110.4 mean: 142.06169154228857
gen: 73 best: 110.4 mean: 141.47562189054727
gen: 74 best: 110.4 mean: 142.33830845771143
gen: 75 best: 110.4 mean: 141.67860696517414
gen: 76 best: 110.4 mean: 142.481592039801
gen: 77 best: 110.4 mean: 140.44328358208955
gen: 78 best: 110.4 mean: 141.07412935323384
gen: 79 best: 110.4 mean: 141.16119402985075
gen: 80 best: 110.4 mean: 140.93333333333334
gen: 81 best: 110.4 mean: 141.07412935323384
gen: 82 best: 110.4 mean: 141.15572139303484
gen: 83 best: 110.4 mean: 140.40746268656716
gen: 84 best: 110.4 mean: 140.1950248756219
gen: 85 best: 110.4 mean: 139.5587064676617
gen: 86 best: 110.4 mean: 139.48407960199006
gen: 87 best: 110.4 mean: 140.51442786069651
gen: 88 best: 110.4 mean: 139.59402985074627
gen: 89 best: 110.4 mean: 140.2004975124378
gen: 90 best: 110.4 mean: 139.73034825870647
gen: 91 best: 110.4 mean: 139.2771144278607
gen: 92 best: 110.4 mean: 138.81293532338307
gen: 93 best: 110.4 mean: 139.33830845771143
gen: 94 best: 110.4 mean: 139.04726368159203
gen: 95 best: 110.4 mean: 138.70348258706468
gen: 96 best: 110.4 mean: 138.81144278606965
gen: 97 best: 110.4 mean: 139.08805970149254
gen: 98 best: 110.4 mean: 138.55373134328357
gen: 99 best: 110.4 mean: 138.34278606965174
