gen >0, new best = 663.400
gen >0, new best = 632.800
gen >0, new best = 628.300
gen >0, new best = 615.900
gen >0, new best = 566.600
gen: 0 best: 566.6 mean: 659.5082089552238
gen: 1 best: 566.6 mean: 658.6094527363184
gen: 2 best: 566.6 mean: 655.7731343283582
gen: 3 best: 566.6 mean: 655.0064676616915
gen: 4 best: 566.6 mean: 652.8278606965174
gen: 5 best: 566.6 mean: 653.8452736318408
gen: 6 best: 566.6 mean: 652.4582089552239
gen: 7 best: 566.6 mean: 652.4796019900498
gen: 8 best: 566.6 mean: 651.0746268656717
gen: 9 best: 566.6 mean: 650.5746268656717
gen: 10 best: 566.6 mean: 648.702487562189
gen: 11 best: 566.6 mean: 646.2965174129354
gen: 12 best: 566.6 mean: 643.8691542288557
gen: 13 best: 566.6 mean: 642.4905472636816
gen: 14 best: 566.6 mean: 640.736815920398
gen: 15 best: 566.6 mean: 638.6850746268657
gen: 16 best: 566.6 mean: 635.7179104477611
gen: 17 best: 566.6 mean: 635.5855721393035
gen >18, new best = 566.400
gen: 18 best: 566.4 mean: 635.0671641791045
gen: 19 best: 566.4 mean: 634.4238805970149
gen: 20 best: 566.4 mean: 632.8407960199005
gen: 21 best: 566.4 mean: 631.763184079602
gen: 22 best: 566.4 mean: 632.7313432835821
gen: 23 best: 566.4 mean: 630.1800995024876
gen: 24 best: 566.4 mean: 630.2029850746269
gen: 25 best: 566.4 mean: 631.5472636815921
gen: 26 best: 566.4 mean: 630.0084577114428
gen: 27 best: 566.4 mean: 628.676119402985
gen: 28 best: 566.4 mean: 626.2900497512438
gen: 29 best: 566.4 mean: 625.9273631840796
gen: 30 best: 566.4 mean: 625.3363184079602
gen: 31 best: 566.4 mean: 622.3398009950249
gen >32, new best = 554.600
gen: 32 best: 554.6 mean: 622.4796019900498
gen: 33 best: 554.6 mean: 621.6547263681592
gen: 34 best: 554.6 mean: 621.0557213930348
gen: 35 best: 554.6 mean: 620.9731343283582
gen: 36 best: 554.6 mean: 620.1114427860697
gen: 37 best: 554.6 mean: 620.4044776119403
gen: 38 best: 554.6 mean: 620.1860696517413
gen: 39 best: 554.6 mean: 617.8029850746269
gen: 40 best: 554.6 mean: 618.8144278606965
gen >41, new best = 536.100
gen: 41 best: 536.1 mean: 617.8139303482587
gen: 42 best: 536.1 mean: 618.2333333333333
gen: 43 best: 536.1 mean: 617.9283582089553
gen: 44 best: 536.1 mean: 618.5930348258706
gen: 45 best: 536.1 mean: 615.3228855721393
gen: 46 best: 536.1 mean: 613.8119402985075
gen: 47 best: 536.1 mean: 615.0164179104478
gen: 48 best: 536.1 mean: 615.0154228855721
gen: 49 best: 536.1 mean: 615.5069651741294
gen: 50 best: 536.1 mean: 617.3124378109453
gen: 51 best: 536.1 mean: 614.1029850746269
gen: 52 best: 536.1 mean: 616.8034825870647
gen: 53 best: 536.1 mean: 613.8393034825871
gen: 54 best: 536.1 mean: 615.1189054726368
gen >55, new best = 532.800
gen: 55 best: 532.8 mean: 613.2189054726368
gen: 56 best: 532.8 mean: 612.7427860696517
gen: 57 best: 532.8 mean: 612.776119402985
gen: 58 best: 532.8 mean: 613.1542288557214
gen: 59 best: 532.8 mean: 612.5860696517412
gen: 60 best: 532.8 mean: 611.8064676616915
gen: 61 best: 532.8 mean: 613.592039800995
gen: 62 best: 532.8 mean: 611.8616915422886
gen: 63 best: 532.8 mean: 613.6004975124379
gen: 64 best: 532.8 mean: 614.073631840796
gen: 65 best: 532.8 mean: 610.6691542288557
gen: 66 best: 532.8 mean: 612.0203980099502
gen: 67 best: 532.8 mean: 609.7980099502488
gen: 68 best: 532.8 mean: 612.6004975124379
gen: 69 best: 532.8 mean: 611.7860696517413
gen: 70 best: 532.8 mean: 610.481592039801
gen: 71 best: 532.8 mean: 610.8646766169154
gen: 72 best: 532.8 mean: 611.8164179104477
gen: 73 best: 532.8 mean: 608.2502487562189
gen: 74 best: 532.8 mean: 609.1353233830846
gen: 75 best: 532.8 mean: 609.3253731343284
gen: 76 best: 532.8 mean: 608.4935323383085
gen: 77 best: 532.8 mean: 609.347263681592
gen: 78 best: 532.8 mean: 608.0323383084577
gen: 79 best: 532.8 mean: 609.6621890547264
gen: 80 best: 532.8 mean: 610.9139303482588
gen: 81 best: 532.8 mean: 610.0875621890548
gen: 82 best: 532.8 mean: 606.389552238806
gen: 83 best: 532.8 mean: 606.0601990049752
gen: 84 best: 532.8 mean: 607.8905472636816
gen: 85 best: 532.8 mean: 605.8467661691542
gen: 86 best: 532.8 mean: 607.9472636815921
gen: 87 best: 532.8 mean: 608.1233830845771
gen >88, new best = 520.900
gen: 88 best: 520.9 mean: 605.9089552238806
gen: 89 best: 520.9 mean: 605.9268656716417
gen: 90 best: 520.9 mean: 606.7482587064677
gen: 91 best: 520.9 mean: 606.9497512437811
gen: 92 best: 520.9 mean: 606.6333333333333
gen: 93 best: 520.9 mean: 605.9169154228856
gen: 94 best: 520.9 mean: 607.6855721393035
gen: 95 best: 520.9 mean: 605.0268656716418
gen: 96 best: 520.9 mean: 605.9955223880597
gen: 97 best: 520.9 mean: 606.5452736318408
gen: 98 best: 520.9 mean: 606.2547263681593
gen: 99 best: 520.9 mean: 608.136815920398
