gen >0, new best = 589.100
gen >0, new best = 529.600
gen >0, new best = 495.700
gen: 0 best: 495.7 mean: 582.6694029850746
gen >1, new best = 443.200
gen: 1 best: 443.2 mean: 579.7378109452736
gen: 2 best: 443.2 mean: 574.9885572139303
gen: 3 best: 443.2 mean: 571.9766169154229
gen: 4 best: 443.2 mean: 571.9323383084577
gen: 5 best: 443.2 mean: 567.3054726368159
gen: 6 best: 443.2 mean: 558.3870646766169
gen: 7 best: 443.2 mean: 561.8149253731343
gen >8, new best = 437.300
gen: 8 best: 437.3 mean: 556.5388059701493
gen: 9 best: 437.3 mean: 554.776119402985
gen: 10 best: 437.3 mean: 545.0283582089552
gen: 11 best: 437.3 mean: 541.0039800995025
gen: 12 best: 437.3 mean: 540.0880597014925
gen: 13 best: 437.3 mean: 537.5621890547263
gen: 14 best: 437.3 mean: 534.8114427860696
gen: 15 best: 437.3 mean: 535.6940298507462
gen: 16 best: 437.3 mean: 532.618407960199
gen: 17 best: 437.3 mean: 530.6014925373134
gen: 18 best: 437.3 mean: 524.1547263681592
gen: 19 best: 437.3 mean: 524.4238805970149
gen: 20 best: 437.3 mean: 521.2875621890547
gen: 21 best: 437.3 mean: 520.8427860696518
gen: 22 best: 437.3 mean: 517.7199004975124
gen: 23 best: 437.3 mean: 516.9194029850746
gen: 24 best: 437.3 mean: 520.0213930348259
gen: 25 best: 437.3 mean: 514.8258706467661
gen: 26 best: 437.3 mean: 518.6611940298508
gen: 27 best: 437.3 mean: 517.4666666666667
gen: 28 best: 437.3 mean: 518.5776119402985
gen: 29 best: 437.3 mean: 516.2179104477611
gen: 30 best: 437.3 mean: 514.2860696517413
gen: 31 best: 437.3 mean: 511.926368159204
gen: 32 best: 437.3 mean: 513.8582089552239
gen: 33 best: 437.3 mean: 509.5094527363184
gen: 34 best: 437.3 mean: 511.6666666666667
gen: 35 best: 437.3 mean: 509.8661691542289
gen: 36 best: 437.3 mean: 510.081592039801
gen >37, new best = 393.600
gen: 37 best: 393.6 mean: 510.3054726368159
gen: 38 best: 393.6 mean: 508.4741293532338
gen: 39 best: 393.6 mean: 508.17313432835823
gen: 40 best: 393.6 mean: 505.9139303482587
gen: 41 best: 393.6 mean: 504.3626865671642
gen: 42 best: 393.6 mean: 503.1457711442786
gen: 43 best: 393.6 mean: 499.49353233830846
gen: 44 best: 393.6 mean: 503.2238805970149
gen: 45 best: 393.6 mean: 502.0333333333333
gen: 46 best: 393.6 mean: 503.7636815920398
gen: 47 best: 393.6 mean: 499.7054726368159
gen: 48 best: 393.6 mean: 500.1850746268657
gen: 49 best: 393.6 mean: 496.8094527363184
gen: 50 best: 393.6 mean: 496.34676616915425
gen: 51 best: 393.6 mean: 496.24825870646765
gen: 52 best: 393.6 mean: 496.0353233830846
gen: 53 best: 393.6 mean: 495.6701492537313
gen: 54 best: 393.6 mean: 494.2069651741294
gen: 55 best: 393.6 mean: 493.9044776119403
gen: 56 best: 393.6 mean: 493.4950248756219
gen: 57 best: 393.6 mean: 491.47014925373134
gen: 58 best: 393.6 mean: 491.22636815920396
gen: 59 best: 393.6 mean: 490.0139303482587
gen: 60 best: 393.6 mean: 490.5731343283582
gen: 61 best: 393.6 mean: 489.0039800995025
gen: 62 best: 393.6 mean: 489.2378109452736
gen: 63 best: 393.6 mean: 491.2218905472637
gen: 64 best: 393.6 mean: 488.2084577114428
gen: 65 best: 393.6 mean: 488.87611940298507
gen: 66 best: 393.6 mean: 487.2716417910448
gen: 67 best: 393.6 mean: 488.92089552238804
gen: 68 best: 393.6 mean: 489.0417910447761
gen: 69 best: 393.6 mean: 487.4119402985075
gen: 70 best: 393.6 mean: 488.32487562189056
gen: 71 best: 393.6 mean: 486.58358208955224
gen: 72 best: 393.6 mean: 484.5134328358209
gen: 73 best: 393.6 mean: 487.99800995024873
gen: 74 best: 393.6 mean: 485.53383084577115
gen: 75 best: 393.6 mean: 485.77412935323383
gen: 76 best: 393.6 mean: 485.2452736318408
gen: 77 best: 393.6 mean: 484.2343283582089
gen: 78 best: 393.6 mean: 482.5049751243781
gen: 79 best: 393.6 mean: 485.53930348258706
gen: 80 best: 393.6 mean: 483.118407960199
gen: 81 best: 393.6 mean: 482.4945273631841
gen: 82 best: 393.6 mean: 482.40746268656716
gen: 83 best: 393.6 mean: 483.7840796019901
gen: 84 best: 393.6 mean: 481.99402985074624
gen: 85 best: 393.6 mean: 481.6427860696517
gen: 86 best: 393.6 mean: 482.0935323383085
gen: 87 best: 393.6 mean: 480.0218905472637
gen: 88 best: 393.6 mean: 479.0
gen: 89 best: 393.6 mean: 481.4323383084577
gen: 90 best: 393.6 mean: 477.18905472636817
gen: 91 best: 393.6 mean: 477.59850746268654
gen: 92 best: 393.6 mean: 481.63432835820896
gen: 93 best: 393.6 mean: 478.08308457711445
gen: 94 best: 393.6 mean: 479.9890547263682
gen: 95 best: 393.6 mean: 476.9407960199005
gen: 96 best: 393.6 mean: 478.80348258706465
gen: 97 best: 393.6 mean: 477.62039800995024
gen: 98 best: 393.6 mean: 480.1925373134328
gen: 99 best: 393.6 mean: 480.5139303482587
