gen >0, new best = 512.600
gen >0, new best = 475.000
gen >0, new best = 458.800
gen >0, new best = 456.600
gen >0, new best = 420.600
gen: 0 best: 420.6 mean: 495.094776119403
gen: 1 best: 420.6 mean: 491.90398009950246
gen: 2 best: 420.6 mean: 490.20796019900496
gen >3, new best = 397.000
gen: 3 best: 397.0 mean: 485.3845771144279
gen: 4 best: 397.0 mean: 482.71094527363186
gen: 5 best: 397.0 mean: 479.3174129353234
gen: 6 best: 397.0 mean: 478.9303482587065
gen: 7 best: 397.0 mean: 475.9124378109453
gen: 8 best: 397.0 mean: 472.85273631840795
gen: 9 best: 397.0 mean: 469.84278606965177
gen: 10 best: 397.0 mean: 468.7597014925373
gen: 11 best: 397.0 mean: 468.31542288557216
gen: 12 best: 397.0 mean: 469.7223880597015
gen: 13 best: 397.0 mean: 465.96218905472637
gen: 14 best: 397.0 mean: 463.83432835820895
gen: 15 best: 397.0 mean: 462.96019900497515
gen: 16 best: 397.0 mean: 462.43830845771146
gen: 17 best: 397.0 mean: 458.3731343283582
gen >18, new best = 378.300
gen: 18 best: 378.3 mean: 459.7716417910448
gen: 19 best: 378.3 mean: 459.2726368159204
gen: 20 best: 378.3 mean: 458.67910447761193
gen: 21 best: 378.3 mean: 457.3532338308458
gen: 22 best: 378.3 mean: 457.30149253731344
gen: 23 best: 378.3 mean: 453.4721393034826
gen: 24 best: 378.3 mean: 454.089552238806
gen: 25 best: 378.3 mean: 455.55771144278606
gen: 26 best: 378.3 mean: 451.74626865671644
gen: 27 best: 378.3 mean: 451.3313432835821
gen: 28 best: 378.3 mean: 449.91641791044776
gen: 29 best: 378.3 mean: 450.55223880597015
gen >30, new best = 339.400
gen: 30 best: 339.4 mean: 452.0681592039801
gen: 31 best: 339.4 mean: 448.6452736318408
gen: 32 best: 339.4 mean: 448.70049751243783
gen: 33 best: 339.4 mean: 447.7417910447761
gen: 34 best: 339.4 mean: 446.8587064676617
gen: 35 best: 339.4 mean: 444.61144278606963
gen: 36 best: 339.4 mean: 444.3726368159204
gen: 37 best: 339.4 mean: 441.96965174129355
gen: 38 best: 339.4 mean: 442.7597014925373
gen: 39 best: 339.4 mean: 443.0786069651741
gen: 40 best: 339.4 mean: 440.01144278606967
gen: 41 best: 339.4 mean: 437.03880597014927
gen: 42 best: 339.4 mean: 438.75223880597014
gen: 43 best: 339.4 mean: 439.1278606965174
gen: 44 best: 339.4 mean: 437.80149253731344
gen: 45 best: 339.4 mean: 437.97860696517415
gen: 46 best: 339.4 mean: 439.50646766169154
gen: 47 best: 339.4 mean: 438.6084577114428
gen: 48 best: 339.4 mean: 436.7318407960199
gen: 49 best: 339.4 mean: 435.0273631840796
gen: 50 best: 339.4 mean: 437.30746268656713
gen: 51 best: 339.4 mean: 436.7029850746269
gen: 52 best: 339.4 mean: 434.35820895522386
gen: 53 best: 339.4 mean: 434.46616915422885
gen: 54 best: 339.4 mean: 434.11442786069654
gen: 55 best: 339.4 mean: 433.5323383084577
gen: 56 best: 339.4 mean: 433.8174129353234
gen: 57 best: 339.4 mean: 432.718407960199
gen: 58 best: 339.4 mean: 434.0313432835821
gen: 59 best: 339.4 mean: 431.52537313432833
gen: 60 best: 339.4 mean: 433.3373134328358
gen: 61 best: 339.4 mean: 430.90597014925373
gen: 62 best: 339.4 mean: 431.41144278606964
gen: 63 best: 339.4 mean: 431.59800995024875
gen: 64 best: 339.4 mean: 432.5601990049751
gen: 65 best: 339.4 mean: 430.6850746268657
gen: 66 best: 339.4 mean: 431.88855721393037
gen: 67 best: 339.4 mean: 430.9960199004975
gen: 68 best: 339.4 mean: 430.99303482587067
gen: 69 best: 339.4 mean: 432.3865671641791
gen: 70 best: 339.4 mean: 432.1686567164179
gen: 71 best: 339.4 mean: 429.66069651741293
gen: 72 best: 339.4 mean: 430.0691542288557
gen: 73 best: 339.4 mean: 429.410447761194
gen: 74 best: 339.4 mean: 428.2915422885572
gen: 75 best: 339.4 mean: 428.75671641791047
gen: 76 best: 339.4 mean: 428.31243781094526
gen: 77 best: 339.4 mean: 429.7159203980099
gen: 78 best: 339.4 mean: 429.60149253731345
gen: 79 best: 339.4 mean: 430.43681592039803
gen: 80 best: 339.4 mean: 430.2402985074627
gen: 81 best: 339.4 mean: 428.0860696517413
gen: 82 best: 339.4 mean: 428.72487562189053
gen: 83 best: 339.4 mean: 427.9049751243781
gen: 84 best: 339.4 mean: 426.69900497512435
gen: 85 best: 339.4 mean: 427.3646766169154
gen: 86 best: 339.4 mean: 425.8422885572139
gen: 87 best: 339.4 mean: 426.2905472636816
gen: 88 best: 339.4 mean: 426.5164179104478
gen: 89 best: 339.4 mean: 428.8422885572139
gen: 90 best: 339.4 mean: 424.7945273631841
gen: 91 best: 339.4 mean: 426.7746268656716
gen: 92 best: 339.4 mean: 425.7781094527363
gen: 93 best: 339.4 mean: 425.47960199004973
gen: 94 best: 339.4 mean: 424.61592039800996
gen: 95 best: 339.4 mean: 424.2587064676617
gen: 96 best: 339.4 mean: 424.6452736318408
gen: 97 best: 339.4 mean: 423.70049751243783
gen: 98 best: 339.4 mean: 423.2044776119403
gen: 99 best: 339.4 mean: 421.8676616915423
