gen >0, new best = 560.100
gen >0, new best = 541.900
gen >0, new best = 530.300
gen >0, new best = 496.800
gen >0, new best = 467.100
gen: 0 best: 467.1 mean: 568.7733830845771
gen >1, new best = 463.800
gen >1, new best = 412.700
gen: 1 best: 412.7 mean: 564.310447761194
gen: 2 best: 412.7 mean: 560.5243781094528
gen: 3 best: 412.7 mean: 553.6318407960199
gen: 4 best: 412.7 mean: 552.4512437810945
gen: 5 best: 412.7 mean: 545.1825870646766
gen: 6 best: 412.7 mean: 544.5477611940298
gen: 7 best: 412.7 mean: 541.3044776119403
gen: 8 best: 412.7 mean: 532.4995024875622
gen: 9 best: 412.7 mean: 534.1273631840796
gen: 10 best: 412.7 mean: 533.518407960199
gen: 11 best: 412.7 mean: 529.7412935323383
gen: 12 best: 412.7 mean: 525.1318407960199
gen: 13 best: 412.7 mean: 523.236815920398
gen >14, new best = 409.100
gen: 14 best: 409.1 mean: 518.6855721393035
gen: 15 best: 409.1 mean: 519.247263681592
gen: 16 best: 409.1 mean: 514.3004975124378
gen >17, new best = 401.400
gen: 17 best: 401.4 mean: 512.0432835820895
gen: 18 best: 401.4 mean: 510.1009950248756
gen: 19 best: 401.4 mean: 507.3572139303483
gen: 20 best: 401.4 mean: 505.56119402985075
gen: 21 best: 401.4 mean: 503.2179104477612
gen >22, new best = 396.500
gen: 22 best: 396.5 mean: 498.02437810945275
gen: 23 best: 396.5 mean: 499.2601990049751
gen: 24 best: 396.5 mean: 495.236815920398
gen: 25 best: 396.5 mean: 494.25174129353235
gen: 26 best: 396.5 mean: 498.43880597014925
gen: 27 best: 396.5 mean: 496.98109452736315
gen: 28 best: 396.5 mean: 493.0228855721393
gen: 29 best: 396.5 mean: 494.53582089552236
gen: 30 best: 396.5 mean: 491.7228855721393
gen: 31 best: 396.5 mean: 486.87014925373137
gen: 32 best: 396.5 mean: 494.3358208955224
gen: 33 best: 396.5 mean: 486.52636815920397
gen: 34 best: 396.5 mean: 491.90696517412937
gen: 35 best: 396.5 mean: 489.43880597014925
gen: 36 best: 396.5 mean: 491.6223880597015
gen: 37 best: 396.5 mean: 488.9338308457711
gen: 38 best: 396.5 mean: 490.4398009950249
gen: 39 best: 396.5 mean: 484.5691542288557
gen: 40 best: 396.5 mean: 488.94825870646764
gen: 41 best: 396.5 mean: 483.73880597014926
gen: 42 best: 396.5 mean: 483.91592039801
gen: 43 best: 396.5 mean: 482.58358208955224
gen >44, new best = 381.400
gen: 44 best: 381.4 mean: 480.8223880597015
gen: 45 best: 381.4 mean: 477.71492537313435
gen: 46 best: 381.4 mean: 479.11592039800996
gen: 47 best: 381.4 mean: 478.5034825870647
gen: 48 best: 381.4 mean: 480.692039800995
gen: 49 best: 381.4 mean: 475.6497512437811
gen: 50 best: 381.4 mean: 476.710447761194
gen: 51 best: 381.4 mean: 472.03432835820894
gen: 52 best: 381.4 mean: 475.2194029850746
gen: 53 best: 381.4 mean: 471.71094527363186
gen: 54 best: 381.4 mean: 476.74626865671644
gen: 55 best: 381.4 mean: 470.5606965174129
gen: 56 best: 381.4 mean: 474.41094527363185
gen: 57 best: 381.4 mean: 471.9233830845771
gen: 58 best: 381.4 mean: 472.97462686567167
gen: 59 best: 381.4 mean: 472.2686567164179
gen: 60 best: 381.4 mean: 472.8502487562189
gen: 61 best: 381.4 mean: 472.047263681592
gen: 62 best: 381.4 mean: 469.4582089552239
gen >63, new best = 380.300
gen: 63 best: 380.3 mean: 470.2228855721393
gen: 64 best: 380.3 mean: 468.46965174129355
gen: 65 best: 380.3 mean: 471.6194029850746
gen: 66 best: 380.3 mean: 469.5407960199005
gen: 67 best: 380.3 mean: 470.8756218905473
gen: 68 best: 380.3 mean: 467.9467661691542
gen: 69 best: 380.3 mean: 471.28507462686565
gen: 70 best: 380.3 mean: 466.38407960199004
gen: 71 best: 380.3 mean: 465.86019900497513
gen: 72 best: 380.3 mean: 467.8940298507463
gen: 73 best: 380.3 mean: 466.75771144278605
gen: 74 best: 380.3 mean: 467.4502487562189
gen: 75 best: 380.3 mean: 466.8636815920398
gen: 76 best: 380.3 mean: 466.88706467661694
gen: 77 best: 380.3 mean: 466.1940298507463
gen: 78 best: 380.3 mean: 465.85771144278607
gen: 79 best: 380.3 mean: 462.8388059701493
gen: 80 best: 380.3 mean: 463.0970149253731
gen: 81 best: 380.3 mean: 464.5313432835821
gen: 82 best: 380.3 mean: 465.89353233830843
gen: 83 best: 380.3 mean: 465.8318407960199
gen: 84 best: 380.3 mean: 462.83781094527365
gen: 85 best: 380.3 mean: 465.7129353233831
gen: 86 best: 380.3 mean: 462.9417910447761
gen: 87 best: 380.3 mean: 459.5164179104478
gen: 88 best: 380.3 mean: 461.6507462686567
gen: 89 best: 380.3 mean: 463.9064676616915
gen: 90 best: 380.3 mean: 461.8860696517413
gen: 91 best: 380.3 mean: 461.46268656716416
gen: 92 best: 380.3 mean: 460.9855721393035
gen: 93 best: 380.3 mean: 462.5845771144279
gen: 94 best: 380.3 mean: 461.1278606965174
gen: 95 best: 380.3 mean: 458.40696517412937
gen: 96 best: 380.3 mean: 459.44427860696516
gen: 97 best: 380.3 mean: 459.0955223880597
gen: 98 best: 380.3 mean: 461.7363184079602
gen: 99 best: 380.3 mean: 461.3995024875622
