gen >0, new best = 147.000
gen >0, new best = 126.100
gen >0, new best = 116.300
gen >0, new best = 113.400
gen >0, new best = 112.300
gen: 0 best: 112.3 mean: 139.5089552238806
gen >1, new best = 100.100
gen: 1 best: 100.1 mean: 139.06019900497512
gen: 2 best: 100.1 mean: 141.03880597014924
gen: 3 best: 100.1 mean: 138.8407960199005
gen: 4 best: 100.1 mean: 139.9084577114428
gen: 5 best: 100.1 mean: 137.36915422885573
gen: 6 best: 100.1 mean: 137.3084577114428
gen: 7 best: 100.1 mean: 135.66417910447763
gen: 8 best: 100.1 mean: 135.9044776119403
gen: 9 best: 100.1 mean: 135.87164179104477
gen >10, new best = 90.800
gen: 10 best: 90.8 mean: 136.25970149253732
gen: 11 best: 90.8 mean: 135.00646766169154
gen: 12 best: 90.8 mean: 137.03980099502488
gen: 13 best: 90.8 mean: 135.47064676616915
gen: 14 best: 90.8 mean: 134.86766169154228
gen: 15 best: 90.8 mean: 133.7681592039801
gen: 16 best: 90.8 mean: 133.3084577114428
gen: 17 best: 90.8 mean: 132.6
gen: 18 best: 90.8 mean: 131.7691542288557
gen: 19 best: 90.8 mean: 132.5910447761194
gen: 20 best: 90.8 mean: 133.87213930348258
gen: 21 best: 90.8 mean: 129.5268656716418
gen: 22 best: 90.8 mean: 131.20199004975123
gen: 23 best: 90.8 mean: 130.98756218905473
gen: 24 best: 90.8 mean: 130.081592039801
gen: 25 best: 90.8 mean: 131.03482587064676
gen: 26 best: 90.8 mean: 131.9402985074627
gen: 27 best: 90.8 mean: 130.08507462686566
gen: 28 best: 90.8 mean: 129.08109452736318
gen: 29 best: 90.8 mean: 129.41691542288558
gen: 30 best: 90.8 mean: 130.42139303482588
gen: 31 best: 90.8 mean: 128.71840796019902
gen: 32 best: 90.8 mean: 128.98109452736318
gen: 33 best: 90.8 mean: 129.75522388059701
gen: 34 best: 90.8 mean: 131.0542288557214
gen: 35 best: 90.8 mean: 129.85621890547264
gen: 36 best: 90.8 mean: 128.45671641791046
gen: 37 best: 90.8 mean: 127.82089552238806
gen: 38 best: 90.8 mean: 129.25671641791044
gen: 39 best: 90.8 mean: 128.5547263681592
gen >40, new best = 89.600
gen: 40 best: 89.6 mean: 127.75323383084577
gen: 41 best: 89.6 mean: 126.89950248756219
gen: 42 best: 89.6 mean: 128.67014925373135
gen: 43 best: 89.6 mean: 127.62487562189055
gen: 44 best: 89.6 mean: 127.67512437810946
gen: 45 best: 89.6 mean: 127.4412935323383
gen: 46 best: 89.6 mean: 125.33233830845771
gen: 47 best: 89.6 mean: 126.89402985074626
gen >48, new best = 89.300
gen: 48 best: 89.3 mean: 125.35771144278607
gen: 49 best: 89.3 mean: 126.58208955223881
gen: 50 best: 89.3 mean: 125.80597014925374
gen: 51 best: 89.3 mean: 125.59502487562189
gen: 52 best: 89.3 mean: 127.2452736318408
gen: 53 best: 89.3 mean: 125.57611940298507
gen: 54 best: 89.3 mean: 124.0452736318408
gen: 55 best: 89.3 mean: 124.75771144278607
gen: 56 best: 89.3 mean: 123.24726368159205
gen: 57 best: 89.3 mean: 123.3905472636816
gen: 58 best: 89.3 mean: 124.28407960199004
gen: 59 best: 89.3 mean: 124.53283582089553
gen: 60 best: 89.3 mean: 123.08358208955224
gen: 61 best: 89.3 mean: 123.07810945273631
gen: 62 best: 89.3 mean: 124.11840796019901
gen: 63 best: 89.3 mean: 121.77313432835821
gen: 64 best: 89.3 mean: 121.87860696517413
gen: 65 best: 89.3 mean: 121.84228855721393
gen: 66 best: 89.3 mean: 123.9139303482587
gen: 67 best: 89.3 mean: 122.27810945273632
gen: 68 best: 89.3 mean: 122.14228855721393
gen: 69 best: 89.3 mean: 121.14029850746269
gen: 70 best: 89.3 mean: 122.51940298507462
gen: 71 best: 89.3 mean: 123.17114427860696
gen: 72 best: 89.3 mean: 122.61791044776119
gen: 73 best: 89.3 mean: 121.3955223880597
gen: 74 best: 89.3 mean: 121.13781094527363
gen >75, new best = 86.800
gen: 75 best: 86.8 mean: 121.57810945273631
gen: 76 best: 86.8 mean: 121.06169154228856
gen: 77 best: 86.8 mean: 121.6268656716418
gen: 78 best: 86.8 mean: 121.2412935323383
gen: 79 best: 86.8 mean: 121.02437810945274
gen: 80 best: 86.8 mean: 121.76467661691542
gen: 81 best: 86.8 mean: 122.22039800995024
gen: 82 best: 86.8 mean: 122.95671641791044
gen: 83 best: 86.8 mean: 120.55223880597015
gen: 84 best: 86.8 mean: 120.29353233830845
gen: 85 best: 86.8 mean: 120.46417910447761
gen: 86 best: 86.8 mean: 120.72537313432836
gen: 87 best: 86.8 mean: 121.87462686567164
gen >88, new best = 85.100
gen: 88 best: 85.1 mean: 121.69253731343284
gen: 89 best: 85.1 mean: 120.28258706467662
gen: 90 best: 85.1 mean: 121.52189054726368
gen: 91 best: 85.1 mean: 120.92786069651741
gen: 92 best: 85.1 mean: 120.21293532338308
gen: 93 best: 85.1 mean: 120.6726368159204
gen: 94 best: 85.1 mean: 120.1094527363184
gen: 95 best: 85.1 mean: 120.78756218905473
gen: 96 best: 85.1 mean: 120.48557213930349
gen: 97 best: 85.1 mean: 121.5407960199005
gen: 98 best: 85.1 mean: 120.44527363184079
gen: 99 best: 85.1 mean: 120.59601990049751
