Exp	Best	Mean	StdDev
256N_graph22strictgen3rem50_114244graph.dat	1	25.4	48.78497036314907
256N_graph22strictgen3rem70_571220graph.dat	1	19.833333333333332	48.52565186464669
256N_graph22mediumgen3rem50_799708graph.dat	1	40.333333333333336	60.52455883542003
256N_graph22mediumgen3rem70_542659graph.dat	1	20.1	42.83872858368542
256N_graph22laxgen3rem50_199927graph.dat	1	28.966666666666665	56.29238156466842
256N_graph22laxgen3rem70_771147graph.dat	1	27.033333333333335	52.832113550587984
256N_graph22leerygen3rem50_856830graph.dat	1	29.633333333333333	57.513177234052684
256N_graph22leerygen3rem70_371293graph.dat	1	37.93333333333333	67.33693059697794
